Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp,RankOverride
1,Atlantic City,1980,Louis Malle,Crime,An aging small-time gangster gets a chance at one last score when a young woman draws him into a drug deal in the declining resort town.,Won Golden Lion at Venice (shared); 5 Oscar noms; BAFTA Best Director; NY/LA Film Critics Best Film/Actor,Venice Film Festival; Oscars; BAFTA,,,,,
2,Do the Right Thing,1989,Spike Lee,Drama,On the hottest day of the year racial tensions escalate to a devastating climax on a single block in Bedford-Stuyvesant Brooklyn.,2 Oscar noms; Cannes Palme d'Or nom; AFI Top 100; National Film Registry; LA Film Critics Best Picture/Director,AFI; National Film Registry; Oscars; Cannes,,,,,
3,The Elephant Man,1980,David Lynch,Drama,Based on the true story of Joseph Merrick a severely deformed man in Victorian London who is rescued from a freak show and discovers his own dignity.,8 Oscar noms incl. Best Picture/Director; BAFTA Best Film; AFI Top 100 nominated,Oscars; BAFTA,,,,,
4,The Mission,1986,Roland Joffe,Drama,Jesuit missionaries in 18th-century South America face destruction when the colonial powers decide to forcibly close their mission protecting indigenous people.,Won Palme d'Or at Cannes; Oscar for Best Cinematography; 7 noms; Ennio Morricone score,Cannes Film Festival; Oscars,,,,,
5,Missing,1982,Costa-Gavras,Drama,An American father enlists the help of his daughter-in-law to find his missing son following a military coup in Chile based on a true story.,Won Palme d'Or at Cannes (shared); Oscar for Best Adapted Screenplay; 4 noms; Jack Lemmon/Sissy Spacek,Cannes Film Festival; Oscars,,,,,
6,Man of Iron,1981,Andrzej Wajda,Drama,A journalist dispatched to discredit a Solidarity union leader among the striking Gdansk shipyard workers in 1980 is instead drawn into the workers' movement in Wajda's electrifying fusion of documentary and drama shot partly during the actual strikes.,Won Palme d'Or at Cannes; FIPRESCI Prize; Oscar nomination for Best Foreign Language Film; a unique political document as much as a masterpiece of committed cinema,Cannes Film Festival; Oscars,,,,,
7,Au Revoir les Enfants,1987,Louis Malle,Drama,In a Catholic boarding school during the Nazi occupation of France a boy befriends a new student who harbors a dangerous secret about his identity.,Won Golden Lion at Venice; 2 Oscar noms; Cesar Award Best Film; Louis Malle's most personal film,Venice Film Festival; Oscars; Cesar Awards,,,,,
8,Kagemusha,1980,Akira Kurosawa,Drama,A petty thief is recruited to impersonate a dying feudal warlord to maintain the clan's military strength in Kurosawa's sumptuous return to epics.,Won Palme d'Or at Cannes (shared); BAFTA Best Director; epic return of Kurosawa financed by Coppola and Lucas,Cannes Film Festival; BAFTA,,,,,
9,Pelle the Conqueror,1987,Bille August,Drama,A Swedish father and his young son emigrate to Denmark in the late 19th century and endure harsh conditions as farm laborers.,Won Palme d'Or at Cannes; Won Oscar for Best Foreign Language Film; Max von Sydow Oscar-nominated,Cannes Film Festival; Oscars,,,,,
10,sex lies and videotape,1989,Steven Soderbergh,Drama,A repressed wife and her troubled sister are drawn to a mysterious visitor who records women discussing their sexual histories on videotape.,Won Palme d'Or at Cannes; Independent Spirit Award; launched American independent cinema movement of the 1990s,Cannes Film Festival; Independent Spirit Awards,,,,,
