Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp,RankOverride
1,The Muppet Show,2026,Alex Timbers,Comedy,Kermit the Frog and the beloved Muppet gang return with a brand-new special event featuring music - comedy - and all the glorious mayhem of the original show - a spirited and clever revival with guest stars Sabrina Carpenter and Seth Rogen that feels exactly right.,98% Certified Fresh RT; Critics Consensus: spirited - clever - and feels exactly right,Rotten Tomatoes,,,,,
2,Redux Redux,2026,Kevin McManus & Matthew McManus,Sci-Fi,A grief-addled mother travels through parallel universes hunting her daughter's murderer in this electrifying multiverse revenge thriller - melding emotional devastation with nerve-shredding genre craft and a standout lead turn from Michaela McManus.,97% Certified Fresh RT (71 reviews); SXSW 2026 Midnight selection,Rotten Tomatoes; RogerEbert.com; The Guardian,,1,,,
3,OBEX,2026,Albert Birney,Drama,In pre-internet 1987 Conor and his dog Sandy live a life of seclusion lost in the slow-rendering graphics of early Macs and televisions aglow with static - a wildly inventive beguiling odyssey from writer/director/star Albert Birney with sumptuously analog presentation.,96% Certified Fresh RT,Rotten Tomatoes,,,,,
4,Mother of Flies,2026,John Adams & Toby Poser & Zelda Adams,Horror,A young woman with a life-threatening illness ventures deep into the woods to seek a mystical healer in this somber and boldly intimate folk horror chamber piece from the Adams family filmmakers - ferociously weird with jaw-dropping practical effects.,94% Certified Fresh RT,Rotten Tomatoes,,1,,,
5,Honey Bunch,2026,Dusty Mancinelli & Madeleine Sims-Fewer,Horror,Diana's husband takes her to a remote experimental trauma facility deep in the wilderness as her memories begin to creep back - an inventive horror flick with provocative ideas about fidelity that remains thrillingly unpredictable to the very end.,93% Certified Fresh RT; feat. Jason Isaacs,Rotten Tomatoes,,1,,,
6,Send Help,2026,Sam Raimi,Horror,Two colleagues stranded on a deserted island after a plane crash must overcome mutual loathing to survive in Sam Raimi's darkly hilarious survival horror - a vicious battle of wits and wills starring Rachel McAdams and Dylan O'Brien.,93% Certified Fresh RT (275 reviews); $64M domestic box office,Rotten Tomatoes; NPR; 20th Century Studios,,1,,,
7,Islands,2026,Jan-Ole Gerster,Mystery & Thriller,A tennis coach at a tropical resort finds himself at the centre of a missing-persons mystery in Jan-Ole Gerster's glossy slow-burn thriller - exploring loneliness with artful restraint against an intoxicating island atmosphere - led by Sam Riley.,92% Certified Fresh RT,Rotten Tomatoes,,1,,,
8,Kontinental '25,2026,Radu Jude,Drama,After overseeing the eviction of an elderly man in Cluj Transylvania a property manager spirals into existential crisis traversing the city in Radu Jude's caustic moral parable about modern guilt and self-righteousness. In Romanian with English subtitles.,92% Certified Fresh RT (52 reviews); praised by The New Yorker and AV Club,Rotten Tomatoes; The New Yorker; AV Club,,,,,
9,28 Years Later: The Bone Temple,2026,Nia DaCosta,Horror,A direct continuation of 28 Years Later that ups the gore while deepening the dread - Nia DaCosta turns the world on its head with Ralph Fiennes and Jack O'Connell delivering inspired performances in this finely crafted next chapter of the landmark British horror franchise.,92% Certified Fresh RT; directed by Nia DaCosta (Candyman),Rotten Tomatoes,,1,,,
10,Peaky Blinders: The Immortal Man,2026,Tom Harper,Crime,Birmingham 1940. Driven from self-imposed exile by the chaos of WWII Tommy Shelby (Cillian Murphy) must choose whether to confront his legacy or burn it to the ground - a thunderous Netflix original conclusion to the beloved British gangster saga.,90% Certified Fresh RT (97 reviews); Netflix Original Film,Rotten Tomatoes; RogerEbert.com; Netflix,,1,,,
11,Crime 101,2026,Bart Layton,Crime,Against the sun-bleached grit of Los Angeles an elusive jewel thief (Chris Hemsworth) weaves a string of audacious heists in Bart Layton's sleek L.A. noir - a genre exercise that has studied the greats and graduates near the top of its class.,89% Certified Fresh RT; starring Chris Hemsworth and Mark Ruffalo,Rotten Tomatoes,,,3,2026-04-06T13:40:49.026Z,
12,Omaha,2026,Cole Webley,Drama,A young girl and her brother are awoken by their father and loaded into a car in the early morning of 2008 - Cole Webley's melancholy road drama rewards patience with a cumulative emotional wallop and John Magaro's quietly haunting central performance.,89% Certified Fresh RT,Rotten Tomatoes,,1,,,
13,She Dances,2026,Rick Gomez,Drama,A fractured father (Steve Zahn) and daughter forced to reconnect on a road trip to her final dance competition must confront shared grief and a broken bond - a heartfelt indie co-starring Ethan Hawke about loss and the complex love between parents and children.,88% Fresh RT (26 reviews),Rotten Tomatoes; RogerEbert.com,,1,,,
14,Is This Thing On?,2026,Bradley Cooper,Comedy,As their marriage quietly unravels Alex (Will Arnett) pursues a midlife second act in New York stand-up comedy while Tess (Laura Dern) confronts the sacrifices she made - Bradley Cooper's sharply perceptive Gen-X study of identity and whether love can reinvent itself.,87% Certified Fresh RT (202 reviews); $6.2M domestic,Rotten Tomatoes; The Australian; Filmspotting,,,,,
15,GOAT,2026,Tyree Dillihay,Animation,Sony Pictures Animation's all-animal action-comedy follows Will - a small goat who earns a spot on a professional roarball squad and sets out to prove smalls can ball - a charming crowd-pleaser featuring the voice of Steph Curry with nifty animation.,85% Certified Fresh RT (85 reviews); $90.6M domestic box office,Rotten Tomatoes; San Jose Mercury News,,,,,
16,"Good Luck, Have Fun, Don't Die",2026,Gore Verbinski,Comedy,A man claiming to be from the future holds a legendary Los Angeles diner hostage in search of unlikely recruits in Gore Verbinski's gleeful comeback - a high-concept comedy with Sam Rockwell letting rip and a serious message about survival beneath the laughs.,83% Certified Fresh RT,Rotten Tomatoes,,1,,,
17,H Is for Hawk,2026,Philippa Lowthorpe,Drama,Helen (Claire Foy) loses herself in grief and memories of her father (Brendan Gleeson) after his sudden death - Philippa Lowthorpe pairs a psychologically raw and bruising Foy performance with lush evocative imagery in this devastating portrait of loss.,80% Certified Fresh RT,Rotten Tomatoes,,1,,,
